AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
AF1Q,40,J,4,12,F,1670,2,99,GS-12,I,XXXX,8,10,F,1,202106,1,98155,17.3,AF1Q,40,J,4,12,F,1670,2,99,GS-12,I,XXXX,8,10,F,1,202109,1,98155,17.6,0
AF1Q,40,I,13,13,I,1361,2,99,GS-13,K,1361,8,10,F,1,202106,1,119787,32,AF1Q,40,I,13,13,I,1361,2,99,GS-13,K,1361,8,10,F,1,202109,1,119787,32.3,0
AF1Q,40,I,10,13,G,2150,2,99,GS-13,K,XXXX,2,10,F,1,202106,1,119787,20.4,AF1Q,40,I,10,13,G,2150,2,99,GS-13,K,XXXX,2,10,F,1,202109,1,119787,20.7,0
AF1Q,40,J,14,13,H,1372,1,99,GS-13,K,1372,8,10,F,1,202106,1,119787,26,AF1Q,40,J,14,13,H,1372,1,99,GS-13,K,1372,8,10,F,1,202109,1,119787,26.3,0
AF1Q,40,G,10,12,E,343,2,99,GS-12,H,XXXX,8,10,F,1,202106,1,82655,14.5,AF1Q,40,G,10,12,E,343,2,99,GS-12,H,XXXX,8,10,F,1,202109,1,82655,14.8,0
AF1Q,40,J,13,12,F,1670,2,99,GS-12,I,XXXX,8,10,F,1,202106,1,90405,15,AF1Q,40,J,13,12,F,1670,2,99,GS-12,I,XXXX,8,10,F,1,202109,1,90405,15.3,0
AF1Q,40,J,17,15,F,2152,2,99,GS-15,Q,XXXX,2,10,F,1,202106,1,172500,17.9,AF1Q,40,J,17,15,F,2152,2,99,GS-15,Q,XXXX,2,10,F,1,202109,1,172500,18.2,0
AF1Q,40,J,4,13,F,2152,2,99,GS-13,K,XXXX,8,10,F,1,202106,1,119203,18.3,AF1Q,40,J,4,13,F,2152,2,99,GS-13,K,XXXX,8,10,F,1,202109,1,119203,18.6,0
AF1Q,40,H,17,14,H,2152,2,99,GS-14,N,XXXX,2,10,F,1,202106,1,140859,27,AF1Q,40,H,17,14,H,2152,2,99,GS-14,N,XXXX,2,10,F,1,202109,1,144771,27.3,1
AF1Q,40,G,17,13,D,301,2,99,GS-13,I,XXXX,8,10,F,1,202106,1,98286,6.8,AF1Q,40,G,17,13,D,301,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,101358,7.1,1
AF1Q,40,F,9,12,D,1670,2,99,GS-12,H,XXXX,8,10,F,1,202106,1,87822,6.8,AF1Q,40,F,9,12,D,1670,2,99,GS-12,H,XXXX,8,10,F,1,202109,1,87822,7.1,0
AF1Q,40,H,17,13,D,2210,2,99,GS-13,J,2210,2,10,F,1,202106,1,104429,5.4,AF1Q,40,H,17,13,D,2210,2,99,GS-13,J,2210,2,10,F,1,202109,1,104429,5.7,0
AF1Q,40,C,17,8,D,318,4,99,GS-08,D,XXXX,8,15,F,1,202106,1,48378,5,AF1Q,40,C,17,8,D,318,4,99,GS-08,D,XXXX,8,15,F,1,202109,1,48378,5.3,0
AF1Q,40,D,4,12,A,2210,2,99,GS-12,G,2210,8,15,F,1,202106,1,77488,0.5,AF1Q,40,D,4,12,A,2210,2,99,GS-12,G,2210,8,15,F,1,202109,1,77488,0.8,0
AF1Q,40,H,10,11,D,2210,2,99,GS-11,G,2210,8,10,F,1,202106,1,76760,7.4,AF1Q,40,H,10,11,D,2210,2,99,GS-11,G,2210,8,10,F,1,202109,1,76760,7.7,0
AF20,12,J,17,13,G,2210,2,99,GS-13,K,2210,8,10,F,1,202106,1,116715,21.4,AF20,12,J,17,13,G,2210,2,99,GS-13,K,2210,8,10,F,1,202109,1,116715,21.7,0
AF20,12,K,21,14,F,343,2,99,GS-14,N,XXXX,8,10,F,1,202106,1,141548,18,AF20,12,K,21,14,F,343,2,99,GS-14,N,XXXX,8,10,F,1,202109,1,141548,18.3,0
AF20,12,I,17,14,H,501,2,99,GS-14,M,XXXX,5,10,F,1,202106,1,134290,25,AF20,12,I,17,14,H,501,2,99,GS-14,M,XXXX,5,10,F,1,202109,1,134290,25.3,0
AF20,12,I,17,13,G,1101,2,99,GS-13,K,XXXX,8,10,F,1,202106,1,116715,21,AF20,12,I,17,13,G,1101,2,99,GS-13,K,XXXX,8,10,F,1,202109,1,116715,21.3,0
AF20,12,H,17,13,H,2210,2,99,GS-13,K,2210,8,10,F,1,202106,1,119787,27.9,AF20,12,H,17,14,H,2210,2,99,GS-14,L,2210,8,10,F,1,202109,1,127031,28.2,1
